doc_type,field,required,type,role,unit,source_class,sap_candidate,sap_note,sf_database,sf_schema,sf_table,sf_column,grain_ok,refresh,as_of_supported,verdict,owner,notes
demand_timeseries,sku,Y,string,identifier,,派生,—,由 sales_history 汇总而来，或 planner 直接给。不要单独去 Snowflake 找,,,,,,,,,,
demand_timeseries,period,Y,string,timestamp,,派生,—,由 sales_history 汇总而来，或 planner 直接给。不要单独去 Snowflake 找,,,,,,,,,,
demand_timeseries,qty,Y,decimal,measure,base_uom,派生,—,由 sales_history 汇总而来，或 planner 直接给。不要单独去 Snowflake 找,,,,,,,,,,
demand_timeseries,description,,string,dimension,,派生,—,由 sales_history 汇总而来，或 planner 直接给。不要单独去 Snowflake 找,,,,,,,,,,
demand_timeseries,sopc_classification,,string,dimension,,派生,—,由 sales_history 汇总而来，或 planner 直接给。不要单独去 Snowflake 找,,,,,,,,,,
demand_timeseries,uom_raw,,string,dimension,,派生,—,由 sales_history 汇总而来，或 planner 直接给。不要单独去 Snowflake 找,,,,,,,,,,
inventory,sku,Y,string,identifier,,ERP事实,MARD-MATNR,,,,,,,,,,,
inventory,location_id,,string,identifier,,ERP事实,MARD-WERKS + LGORT,库位语义(可售/质检/冻结)必须单独维护——TODO P0,,,,,,,,,,
inventory,line_number,,string,identifier,,派生,—,,,,,,,,,,,
inventory,qty_on_hand,Y,decimal,measure,base_uom,ERP事实,MARD-LABST,仅非限制库存,,,,,,,,,,
inventory,qty_in_transit,,decimal,measure,base_uom,ERP事实,MARD-UMLME / MSEG,库存转储在途,,,,,,,,,,
inventory,qty_allocated,,decimal,measure,base_uom,派生,VBBE-OMENG 汇总,SAP 无现成分配量列,,,,,,,,,,
inventory,qty_available,,decimal,measure,base_uom,派生,派生,,,,,,,,,,,
inventory,qty_on_order,,decimal,measure,base_uom,派生,派生 open_po 汇总,,,,,,,,,,,
inventory,unit_cost,,decimal,measure,currency_per_base_uom,ERP主数据,MBEW-VERPR 或 STPRS / PEINH,移动平均还是标准价要定死；同样有价格单位,,,,,,,,,,
inventory,inventory_value,,decimal,measure,currency,ERP主数据,MBEW-SALK3,,,,,,,,,,,
inventory,currency,,string,dimension,,ERP主数据,T001-WAERS(公司码货币),,,,,,,,,,,
inventory,fx_rate,,decimal,measure,,planner本地,—,,,,,,,,,,,
inventory,uom_raw,,string,dimension,,ERP主数据,MARA-MEINS,,,,,,,,,,,
inventory,snapshot_date,,date,timestamp,,ERP事实,MARD 无日期字段,MARD 是当前态表。复制时不打快照戳就永久失去历史；期末历史在 MARDH,,,,,,,,,,
item_master,sku,Y,string,identifier,,ERP主数据,MARA-MATNR,,,,,,,,,,,
item_master,description,,string,dimension,,ERP主数据,MAKT-MAKTX,按语言 SPRAS 过滤，否则行翻倍,,,,,,,,,,
item_master,supplier,,string,dimension,,ERP主数据,EORD / EINA-LIFNR,货源清单；今天代码用 PO 历史里最多的供应商顶替,,,,,,,,,,
item_master,lead_time_days,,decimal,measure,days,ERP主数据,MARC-PLIFZ 或 EINE-APLFZ,工厂级计划交货时间 vs 采购信息记录，两者常不一致,,,,,,,,,,
item_master,min_order_qty,,decimal,measure,base_uom,ERP主数据,MARC-BSTMI / EINE,最小批量,,,,,,,,,,
item_master,order_multiple,,decimal,measure,base_uom,ERP主数据,MARC-BSTRF,舍入值,,,,,,,,,,
item_master,unit_cost,,decimal,measure,currency_per_base_uom,ERP主数据,MBEW-STPRS / VERPR,,,,,,,,,,,
item_master,currency,,string,dimension,,ERP主数据,T001-WAERS,,,,,,,,,,,
item_master,fx_rate,,decimal,measure,,planner本地,—,,,,,,,,,,,
item_master,incoterm,,string,dimension,,ERP主数据,EINE-INCO1 / LFM1,,,,,,,,,,,
item_master,stocking_policy,,string,dimension,,ERP主数据,MARC-DISMM/DISPO 推导,MRP 类型不等于备货策略，需映射,,,,,,,,,,
item_master,product_family,,string,dimension,,ERP主数据,MARA-MATKL / PRDHA,,,,,,,,,,,
item_master,item_status,,string,dimension,,ERP主数据,MARA-MSTAE / MARC-MMSTA,工厂级状态是判停产的那个,,,,,,,,,,
item_master,successor_sku,,string,dimension,,ERP主数据,MARC-NFMAT,后继物料——直接喂 substitution contract,,,,,,,,,,
