Item,Supplier,PO Open Qty,Outstanding Amount,Scheduled Delivery,Purchase Order,Inco Term
SKU-008,Sup-Gamma,130.0,21552.57,2024-08-01,PO-46806,DDP
SKU-004,Sup-Gamma,115.0,15764.47,2024-07-30,PO-25509,DDP
SKU-004,Sup-Gamma,334.0,29369.72,2024-09-02,PO-73113,DDP
SKU-008,Sup-Gamma,124.0,8127.36,2024-09-10,PO-63857,DDP
SKU-001,Sup-Alpha,65.0,23792.49,2024-08-11,PO-31119,FOB
SKU-003,Sup-Alpha,229.0,35850.31,2024-09-29,PO-29249,FOB
SKU-001,Sup-Alpha,140.0,8841.43,2024-08-01,PO-63143,FOB
SKU-010,Sup-Delta,273.0,35383.34,2024-09-21,PO-96736,CIF
SKU-005,Sup-Beta,126.0,25047.98,2024-07-21,PO-71789,EXW
SKU-008,Sup-Gamma,127.0,17609.14,2024-08-01,PO-28705,DDP
SKU-010,Sup-Delta,268.0,21410.59,2024-08-03,PO-31983,CIF
SKU-006,Sup-Delta,259.0,4616.03,2024-09-07,PO-59572,CIF
SKU-007,Sup-Alpha,88.0,9689.24,2024-07-27,PO-76107,FOB
SKU-007,Sup-Alpha,262.0,8742.04,2024-07-30,PO-90576,FOB
SKU-010,Sup-Delta,357.0,22194.34,2024-07-15,PO-25403,CIF
SKU-002,Sup-Beta,281.0,36275.42,2024-09-10,PO-80685,EXW
SKU-001,Sup-Alpha,233.0,16074.34,2024-09-04,PO-15693,FOB
SKU-009,Sup-Beta,130.0,32487.41,2024-09-03,PO-59969,EXW
SKU-006,Sup-Delta,332.0,36498.64,2024-09-24,PO-85513,CIF
SKU-002,Sup-Beta,97.0,20131.37,2024-09-03,PO-40475,EXW
SKU-002,Sup-Beta,259.0,22661.78,2024-08-16,PO-43791,EXW
SKU-004,Sup-Gamma,298.0,31998.05,2024-07-11,PO-85757,DDP
SKU-009,Sup-Beta,232.0,16251.14,2024-07-26,PO-36924,EXW
SKU-006,Sup-Delta,177.0,7881.59,2024-09-01,PO-95403,CIF
SKU-010,Sup-Delta,141.0,22371.99,2024-08-12,PO-84012,CIF
SKU-006,Sup-Delta,146.0,27863.02,2024-09-27,PO-36698,CIF
SKU-007,Sup-Alpha,324.0,20333.77,2024-09-19,PO-58524,FOB
SKU-009,Sup-Beta,219.0,39563.31,2024-09-20,PO-85713,EXW
SKU-006,Sup-Delta,308.0,34489.96,2024-08-30,PO-96413,CIF
SKU-002,Sup-Beta,206.0,28573.83,2024-08-09,PO-31206,EXW
SKU-002,Sup-Beta,228.0,31871.08,2024-08-07,PO-82165,EXW
SKU-010,Sup-Delta,106.0,38653.67,2024-07-17,PO-10693,CIF
SKU-002,Sup-Beta,215.0,24809.33,2024-07-29,PO-21552,EXW
SKU-002,Sup-Beta,128.0,5041.51,2024-08-13,PO-14948,EXW
SKU-007,Sup-Alpha,265.0,21798.21,2024-08-31,PO-88311,FOB
SKU-001,Sup-Alpha,274.0,18680.94,2024-08-02,PO-36438,FOB
SKU-009,Sup-Beta,118.0,31790.46,2024-08-16,PO-76918,EXW
SKU-009,Sup-Beta,265.0,27612.93,2024-08-09,PO-57151,EXW
SKU-004,Sup-Gamma,391.0,5300.03,2024-07-11,PO-46167,DDP
SKU-007,Sup-Alpha,284.0,17407.14,2024-08-25,PO-36255,FOB
SKU-009,Sup-Beta,308.0,4607.45,2024-07-12,PO-21818,EXW
SKU-009,Sup-Beta,304.0,23246.33,2024-08-16,PO-86406,EXW
SKU-006,Sup-Delta,387.0,12507.3,2024-08-24,PO-89477,CIF
SKU-004,Sup-Gamma,375.0,23846.46,2024-09-07,PO-44223,DDP
SKU-003,Sup-Alpha,227.0,23227.97,2024-09-01,PO-75951,FOB
SKU-005,Sup-Beta,381.0,32511.81,2024-08-23,PO-43776,EXW
SKU-009,Sup-Beta,138.0,18825.21,2024-09-22,PO-59424,EXW
SKU-010,Sup-Delta,319.0,30783.98,2024-09-10,PO-70142,CIF
SKU-008,Sup-Gamma,352.0,20314.87,2024-09-24,PO-43792,DDP
SKU-002,Sup-Beta,272.0,39779.53,2024-08-28,PO-98724,EXW
SKU-004,Sup-Gamma,194.0,15417.66,2024-08-20,PO-80208,DDP
SKU-001,Sup-Alpha,137.0,5534.36,2024-08-13,PO-98302,FOB
SKU-006,Sup-Delta,244.0,8782.46,2024-07-20,PO-51139,CIF
SKU-006,Sup-Delta,363.0,12224.88,2024-08-07,PO-99536,CIF
SKU-004,Sup-Gamma,308.0,10924.73,2024-09-12,PO-41726,DDP
SKU-005,Sup-Beta,130.0,33727.74,2024-08-06,PO-91080,EXW
SKU-006,Sup-Delta,323.0,6555.38,2024-07-30,PO-20287,CIF
SKU-008,Sup-Gamma,52.0,34569.39,2024-09-27,PO-15539,DDP
SKU-008,Sup-Gamma,267.0,20708.93,2024-08-27,PO-85303,DDP
SKU-005,Sup-Beta,114.0,31041.97,2024-09-11,PO-76995,EXW
