Material,Sold To,Requested Delivery Date,Promise Date,Outstanding Qty,Remaining Amount,Order Number
SKU-004,CUST-011,2024-08-17,2024-08-25,55.0,3562.78,SO-22483
SKU-007,CUST-008,2024-08-17,2024-08-24,38.0,3446.22,SO-60446
SKU-003,CUST-018,2024-08-28,2024-09-11,99.0,461.92,SO-94331
SKU-003,CUST-016,2024-08-07,2024-08-20,52.0,993.94,SO-74441
SKU-006,CUST-011,2024-07-21,2024-07-25,10.0,1268.99,SO-94320
SKU-007,CUST-008,2024-07-31,2024-08-01,49.0,4046.05,SO-68733
SKU-002,CUST-016,2024-08-29,2024-09-05,35.0,4907.22,SO-95638
SKU-001,CUST-013,2024-07-12,2024-07-18,8.0,2835.67,SO-21913
SKU-005,CUST-018,2024-08-07,2024-08-10,67.0,2389.8,SO-54676
SKU-006,CUST-002,2024-08-27,2024-09-09,26.0,2381.41,SO-83420
SKU-008,CUST-012,2024-08-20,2024-08-31,48.0,667.7,SO-96364
SKU-004,CUST-011,2024-07-06,2024-07-11,84.0,4829.28,SO-48270
SKU-006,CUST-004,2024-08-19,2024-08-19,90.0,2563.63,SO-63636
SKU-002,CUST-020,2024-07-22,2024-07-25,23.0,4665.04,SO-61497
SKU-004,CUST-007,2024-08-04,2024-08-15,37.0,3834.32,SO-16094
SKU-002,CUST-015,2024-08-24,2024-08-31,68.0,4789.71,SO-27647
SKU-008,CUST-017,2024-07-06,2024-07-17,10.0,4689.48,SO-86692
SKU-008,CUST-006,2024-08-07,2024-08-18,60.0,3706.37,SO-26827
SKU-002,CUST-020,2024-07-30,2024-08-08,89.0,2619.73,SO-60418
SKU-007,CUST-008,2024-08-13,2024-08-17,43.0,1845.72,SO-48557
SKU-008,CUST-005,2024-08-26,2024-08-28,44.0,3560.07,SO-77147
SKU-005,CUST-018,2024-08-28,2024-09-10,35.0,3736.73,SO-82559
SKU-004,CUST-007,2024-07-18,2024-07-27,73.0,3495.73,SO-98129
SKU-003,CUST-006,2024-08-20,2024-08-28,57.0,3257.01,SO-25126
SKU-006,CUST-016,2024-08-10,2024-08-19,59.0,3402.35,SO-64719
SKU-005,CUST-014,2024-08-29,2024-09-10,6.0,711.06,SO-59921
SKU-003,CUST-002,2024-07-09,2024-07-12,30.0,3970.55,SO-47567
SKU-005,CUST-002,2024-07-15,2024-07-26,80.0,1179.2,SO-80932
SKU-001,CUST-015,2024-07-28,2024-07-29,64.0,3442.52,SO-83647
SKU-004,CUST-018,2024-08-22,2024-08-28,28.0,3964.67,SO-47701
SKU-001,CUST-013,2024-07-30,2024-08-05,96.0,4883.95,SO-50980
SKU-001,CUST-009,2024-07-06,2024-07-09,64.0,3948.44,SO-68073
SKU-004,CUST-012,2024-08-15,2024-08-27,61.0,3744.56,SO-35751
SKU-004,CUST-015,2024-07-24,2024-07-26,98.0,557.45,SO-32779
SKU-002,CUST-002,2024-07-30,2024-08-05,32.0,1468.35,SO-31093
SKU-005,CUST-011,2024-07-06,2024-07-13,72.0,943.07,SO-30146
SKU-006,CUST-002,2024-08-13,2024-08-25,94.0,3154.92,SO-96755
SKU-005,CUST-019,2024-08-06,2024-08-14,39.0,3963.35,SO-51662
SKU-004,CUST-017,2024-07-17,2024-07-18,80.0,964.98,SO-81182
SKU-007,CUST-012,2024-07-11,2024-07-14,89.0,3384.01,SO-53393
SKU-006,CUST-007,2024-07-24,2024-08-05,64.0,2479.31,SO-83575
SKU-001,CUST-012,2024-07-13,2024-07-20,28.0,3282.87,SO-91412
SKU-004,CUST-011,2024-07-08,2024-07-14,92.0,4735.94,SO-60577
SKU-005,CUST-010,2024-08-09,2024-08-09,92.0,4146.12,SO-59146
SKU-008,CUST-002,2024-08-06,2024-08-10,90.0,1124.06,SO-77357
SKU-002,CUST-006,2024-07-12,2024-07-24,56.0,235.19,SO-18581
SKU-004,CUST-007,2024-08-17,2024-08-30,70.0,4211.19,SO-36945
SKU-007,CUST-003,2024-08-16,2024-08-27,70.0,314.01,SO-53478
SKU-001,CUST-003,2024-07-11,2024-07-11,22.0,1409.16,SO-19232
SKU-004,CUST-014,2024-07-22,2024-07-28,48.0,2141.35,SO-51471
SKU-001,CUST-004,2024-07-30,2024-08-07,6.0,3657.37,SO-18288
SKU-001,CUST-003,2024-08-19,2024-08-24,93.0,709.45,SO-99899
SKU-005,CUST-003,2024-08-13,2024-08-17,78.0,2300.85,SO-61788
SKU-001,CUST-006,2024-08-05,2024-08-13,26.0,3784.42,SO-81529
SKU-005,CUST-005,2024-08-15,2024-08-19,69.0,4588.01,SO-94926
SKU-006,CUST-018,2024-07-06,2024-07-19,58.0,791.53,SO-10659
SKU-007,CUST-018,2024-08-09,2024-08-10,34.0,3791.82,SO-55069
SKU-004,CUST-017,2024-08-01,2024-08-03,20.0,1259.78,SO-43127
SKU-004,CUST-006,2024-07-13,2024-07-23,81.0,4290.81,SO-81939
SKU-008,CUST-018,2024-08-16,2024-08-17,33.0,523.34,SO-22871
SKU-004,CUST-019,2024-08-21,2024-08-28,95.0,1914.26,SO-97988
SKU-004,CUST-010,2024-07-12,2024-07-21,12.0,1128.79,SO-73682
SKU-008,CUST-020,2024-07-27,2024-08-06,34.0,3004.02,SO-84128
SKU-006,CUST-011,2024-08-26,2024-09-01,21.0,1703.43,SO-39035
SKU-007,CUST-012,2024-07-23,2024-07-25,70.0,1791.5,SO-72908
