Part No,Vendor Name,PO Date,Goods Receipt Date,PO Qty,Net Value,Inco Terms
SKU-002,Sup-Beta,2023-03-22,2023-05-09,413.0,16602.32,EXW
SKU-010,Sup-Delta,2023-01-21,2023-03-05,147.0,43115.52,CIF
SKU-003,Sup-Alpha,2023-02-16,2023-04-07,370.0,48483.2,FOB
SKU-007,Sup-Alpha,2023-09-20,2023-11-16,72.0,16344.35,FOB
SKU-003,Sup-Alpha,2023-01-16,2023-02-28,478.0,43020.86,FOB
SKU-009,Sup-Beta,2024-01-19,2024-03-02,298.0,6546.81,EXW
SKU-002,Sup-Beta,2024-02-16,2024-04-13,407.0,7829.76,EXW
SKU-001,Sup-Alpha,2024-03-01,2024-04-21,401.0,12669.83,FOB
SKU-004,Sup-Gamma,2024-02-26,2024-04-07,230.0,34941.69,DDP
SKU-002,Sup-Beta,2023-10-26,2023-12-14,314.0,46036.57,EXW
SKU-002,Sup-Beta,2023-01-12,2023-02-22,499.0,11492.02,EXW
SKU-008,Sup-Gamma,2024-02-19,2024-03-31,108.0,45443.74,DDP
SKU-006,Sup-Delta,2023-03-04,2023-04-19,69.0,24127.76,CIF
SKU-003,Sup-Alpha,2023-10-21,2023-11-19,245.0,36772.68,FOB
SKU-008,Sup-Gamma,2023-01-16,2023-02-16,222.0,22479.87,DDP
SKU-006,Sup-Delta,2023-04-20,2023-05-30,459.0,15199.12,CIF
SKU-008,Sup-Gamma,2024-03-28,2024-05-03,117.0,31477.12,DDP
SKU-010,Sup-Delta,2023-05-06,2023-06-22,341.0,25946.8,CIF
SKU-009,Sup-Beta,2023-09-03,2023-10-10,77.0,15429.25,EXW
SKU-003,Sup-Alpha,2023-08-03,2023-09-05,140.0,44463.32,FOB
SKU-009,Sup-Beta,2023-05-08,2023-07-03,334.0,40504.07,EXW
SKU-001,Sup-Alpha,2023-07-15,2023-08-27,402.0,19237.38,FOB
SKU-009,Sup-Beta,2024-02-05,2024-03-21,268.0,45808.5,EXW
SKU-009,Sup-Beta,2023-06-14,2023-07-17,225.0,10631.16,EXW
SKU-006,Sup-Delta,2023-11-02,2023-12-12,149.0,44996.71,CIF
SKU-005,Sup-Beta,2023-01-30,2023-03-16,414.0,24640.85,EXW
SKU-006,Sup-Delta,2024-01-28,2024-03-03,313.0,13172.58,CIF
SKU-003,Sup-Alpha,2023-02-21,2023-04-10,162.0,13575.33,FOB
SKU-009,Sup-Beta,2024-02-22,2024-04-02,406.0,37378.89,EXW
SKU-004,Sup-Gamma,2023-10-22,2023-12-03,431.0,40274.75,DDP
SKU-006,Sup-Delta,2024-03-05,2024-04-14,496.0,10338.18,CIF
SKU-004,Sup-Gamma,2023-10-31,2023-12-29,193.0,37429.04,DDP
SKU-006,Sup-Delta,2023-10-30,2023-12-13,63.0,35626.92,CIF
SKU-010,Sup-Delta,2023-10-16,2023-11-21,114.0,47521.69,CIF
SKU-008,Sup-Gamma,2023-10-05,2023-11-25,189.0,25540.95,DDP
SKU-002,Sup-Beta,2023-01-29,2023-03-05,155.0,12502.83,EXW
SKU-009,Sup-Beta,2023-09-02,2023-10-18,50.0,46059.02,EXW
SKU-004,Sup-Gamma,2024-02-17,2024-03-17,109.0,36413.01,DDP
SKU-006,Sup-Delta,2023-01-31,2023-03-06,60.0,30157.24,CIF
SKU-003,Sup-Alpha,2024-02-01,2024-03-18,100.0,27262.15,FOB
SKU-006,Sup-Delta,2023-02-07,2023-03-29,218.0,47212.31,CIF
SKU-007,Sup-Alpha,2023-10-28,2023-12-13,95.0,16484.73,FOB
SKU-003,Sup-Alpha,2023-03-22,2023-05-05,380.0,22969.68,FOB
SKU-008,Sup-Gamma,2023-11-29,2024-01-10,193.0,35944.78,DDP
SKU-009,Sup-Beta,2023-12-22,2024-01-24,450.0,31458.03,EXW
SKU-006,Sup-Delta,2023-04-25,2023-06-03,349.0,41093.8,CIF
SKU-007,Sup-Alpha,2023-06-07,2023-07-18,380.0,16136.83,FOB
SKU-003,Sup-Alpha,2024-01-09,2024-03-02,51.0,35696.41,FOB
SKU-010,Sup-Delta,2023-07-20,2023-09-05,433.0,38999.86,CIF
SKU-010,Sup-Delta,2023-01-17,2023-02-16,132.0,17274.41,CIF
SKU-010,Sup-Delta,2023-04-24,2023-06-10,338.0,6997.29,CIF
SKU-008,Sup-Gamma,2023-03-14,2023-04-24,199.0,5734.72,DDP
SKU-006,Sup-Delta,2023-06-13,2023-07-22,126.0,44495.37,CIF
SKU-002,Sup-Beta,2024-02-25,2024-04-14,369.0,32676.93,EXW
SKU-006,Sup-Delta,2023-08-17,2023-10-09,55.0,12064.85,CIF
SKU-002,Sup-Beta,2023-06-29,2023-08-20,165.0,7185.66,EXW
SKU-001,Sup-Alpha,2023-01-25,2023-03-04,224.0,37164.06,FOB
SKU-003,Sup-Alpha,2024-03-28,2024-05-09,236.0,44324.99,FOB
SKU-006,Sup-Delta,2023-10-07,2023-11-23,219.0,41782.73,CIF
SKU-010,Sup-Delta,2023-11-30,2024-01-21,391.0,12827.97,CIF
SKU-008,Sup-Gamma,2023-02-07,2023-03-20,410.0,3603.81,DDP
SKU-001,Sup-Alpha,2023-06-13,2023-07-26,168.0,7026.8,FOB
SKU-006,Sup-Delta,2023-03-29,2023-05-04,450.0,9723.42,CIF
SKU-002,Sup-Beta,2023-10-08,2023-11-12,474.0,48945.99,EXW
SKU-006,Sup-Delta,2023-11-01,2023-12-22,493.0,44874.86,CIF
SKU-001,Sup-Alpha,2023-08-09,2023-10-03,474.0,9919.87,FOB
SKU-007,Sup-Alpha,2023-03-22,2023-05-05,74.0,17892.54,FOB
SKU-004,Sup-Gamma,2023-07-29,2023-09-20,364.0,36657.83,DDP
SKU-009,Sup-Beta,2023-05-16,2023-07-02,347.0,16275.23,EXW
SKU-002,Sup-Beta,2023-01-26,2023-03-06,227.0,28383.81,EXW
SKU-008,Sup-Gamma,2023-03-20,2023-05-06,75.0,2183.15,DDP
SKU-002,Sup-Beta,2023-05-31,2023-07-27,421.0,32004.37,EXW
SKU-008,Sup-Gamma,2023-04-13,2023-05-27,94.0,11933.74,DDP
SKU-005,Sup-Beta,2023-02-11,2023-04-09,263.0,7544.43,EXW
SKU-007,Sup-Alpha,2023-08-30,2023-09-23,270.0,33729.92,FOB
SKU-002,Sup-Beta,2023-11-25,2024-01-15,295.0,10874.3,EXW
SKU-007,Sup-Alpha,2023-07-09,2023-08-23,134.0,4141.61,FOB
SKU-008,Sup-Gamma,2023-08-27,2023-10-08,169.0,42179.78,DDP
SKU-010,Sup-Delta,2023-02-01,2023-03-18,118.0,35430.61,CIF
SKU-002,Sup-Beta,2023-02-13,2023-03-14,351.0,40792.65,EXW
SKU-007,Sup-Alpha,2024-01-23,2024-03-06,315.0,28572.89,FOB
SKU-007,Sup-Alpha,2024-02-24,2024-04-11,285.0,48350.13,FOB
SKU-008,Sup-Gamma,2023-10-21,2023-12-16,447.0,24860.59,DDP
SKU-002,Sup-Beta,2023-07-22,2023-08-31,456.0,36286.67,EXW
SKU-009,Sup-Beta,2023-10-20,2023-11-27,455.0,40421.62,EXW
SKU-010,Sup-Delta,2023-03-17,2023-04-26,104.0,38345.06,CIF
SKU-003,Sup-Alpha,2023-03-27,2023-05-18,487.0,40806.11,FOB
SKU-003,Sup-Alpha,2023-01-22,2023-03-10,241.0,49437.44,FOB
SKU-007,Sup-Alpha,2023-04-14,2023-05-24,499.0,32106.86,FOB
SKU-010,Sup-Delta,2023-05-13,2023-07-01,194.0,36900.94,CIF
SKU-002,Sup-Beta,2023-02-14,2023-03-31,225.0,21073.04,EXW
SKU-006,Sup-Delta,2024-03-14,2024-05-05,174.0,23991.54,CIF
SKU-001,Sup-Alpha,2024-02-07,2024-03-17,365.0,30203.65,FOB
SKU-007,Sup-Alpha,2023-02-27,2023-04-10,236.0,9113.59,FOB
SKU-010,Sup-Delta,2023-10-26,2023-12-06,391.0,47103.2,CIF
SKU-002,Sup-Beta,2023-10-16,2023-11-18,401.0,39715.79,EXW
SKU-009,Sup-Beta,2024-03-26,2024-05-12,205.0,21722.72,EXW
SKU-007,Sup-Alpha,2023-12-02,2024-01-18,269.0,31230.18,FOB
SKU-001,Sup-Alpha,2023-03-30,2023-05-14,174.0,8904.93,FOB
SKU-010,Sup-Delta,2023-12-15,2024-01-27,362.0,3861.56,CIF
SKU-006,Sup-Delta,2023-12-20,2024-01-22,157.0,37795.99,CIF
SKU-005,Sup-Beta,2023-07-10,2023-08-20,59.0,41234.52,EXW
SKU-005,Sup-Beta,2023-06-09,2023-07-21,176.0,25597.72,EXW
SKU-002,Sup-Beta,2024-03-20,2024-04-27,153.0,16423.06,EXW
SKU-008,Sup-Gamma,2024-02-01,2024-03-15,422.0,14932.16,DDP
SKU-007,Sup-Alpha,2023-11-06,2023-12-24,340.0,11020.91,FOB
SKU-004,Sup-Gamma,2024-02-26,2024-04-26,233.0,25254.1,DDP
SKU-009,Sup-Beta,2024-03-20,2024-05-05,218.0,4697.88,EXW
SKU-003,Sup-Alpha,2023-02-03,2023-03-22,190.0,26326.17,FOB
SKU-003,Sup-Alpha,2024-02-04,2024-03-19,433.0,44207.96,FOB
SKU-001,Sup-Alpha,2023-03-30,2023-04-28,137.0,41980.64,FOB
SKU-001,Sup-Alpha,2023-05-08,2023-06-21,65.0,4426.85,FOB
SKU-006,Sup-Delta,2023-12-27,2024-02-10,140.0,19680.89,CIF
SKU-008,Sup-Gamma,2023-09-16,2023-11-19,229.0,46307.53,DDP
SKU-001,Sup-Alpha,2023-05-04,2023-06-16,218.0,30514.09,FOB
SKU-003,Sup-Alpha,2024-03-21,2024-05-07,264.0,28464.02,FOB
SKU-006,Sup-Delta,2023-03-25,2023-05-08,427.0,14415.68,CIF
SKU-002,Sup-Beta,2023-05-26,2023-06-30,62.0,4383.25,EXW
SKU-010,Sup-Delta,2024-02-04,2024-03-29,484.0,43141.34,CIF
SKU-004,Sup-Gamma,2023-12-13,2024-02-02,143.0,33276.19,DDP
SKU-009,Sup-Beta,2023-01-11,2023-03-03,439.0,48422.64,EXW
SKU-001,Sup-Alpha,2023-08-31,2023-10-07,460.0,33073.83,FOB
SKU-010,Sup-Delta,2024-02-15,2024-04-11,54.0,14114.74,CIF
SKU-005,Sup-Beta,2023-12-31,2024-02-02,485.0,32851.53,EXW
SKU-007,Sup-Alpha,2023-07-12,2023-08-30,433.0,24031.9,FOB
SKU-004,Sup-Gamma,2023-08-27,2023-10-28,186.0,26990.62,DDP
SKU-010,Sup-Delta,2023-07-23,2023-08-29,313.0,2352.68,CIF
SKU-006,Sup-Delta,2023-10-15,2023-11-24,341.0,31234.41,CIF
SKU-005,Sup-Beta,2023-12-17,2024-01-31,99.0,5064.18,EXW
SKU-005,Sup-Beta,2023-11-24,2024-01-03,196.0,15290.48,EXW
SKU-005,Sup-Beta,2023-04-07,2023-05-09,117.0,38742.77,EXW
SKU-001,Sup-Alpha,2024-02-17,2024-04-02,436.0,40881.39,FOB
SKU-007,Sup-Alpha,2023-12-05,2024-01-10,194.0,8716.62,FOB
SKU-001,Sup-Alpha,2023-12-02,2024-01-19,274.0,16189.02,FOB
SKU-007,Sup-Alpha,2023-07-27,2023-09-02,225.0,3695.31,FOB
SKU-010,Sup-Delta,2024-02-22,2024-04-19,135.0,36874.39,CIF
SKU-004,Sup-Gamma,2023-12-18,2024-01-25,291.0,39675.06,DDP
SKU-006,Sup-Delta,2023-09-17,2023-10-29,185.0,10159.36,CIF
SKU-009,Sup-Beta,2023-04-03,2023-05-24,182.0,24597.48,EXW
SKU-005,Sup-Beta,2024-01-07,2024-02-11,414.0,38620.07,EXW
SKU-003,Sup-Alpha,2023-12-15,2024-01-30,455.0,33412.86,FOB
SKU-004,Sup-Gamma,2023-07-01,2023-08-25,150.0,43828.75,DDP
SKU-007,Sup-Alpha,2024-02-08,2024-03-11,449.0,19840.76,FOB
SKU-010,Sup-Delta,2023-05-31,2023-07-16,259.0,7653.51,CIF
SKU-001,Sup-Alpha,2024-03-19,2024-05-05,335.0,29855.03,FOB
SKU-010,Sup-Delta,2023-02-06,2023-03-29,262.0,11338.1,CIF
SKU-002,Sup-Beta,2024-03-20,2024-04-24,356.0,27432.25,EXW
SKU-007,Sup-Alpha,2023-01-28,2023-03-03,442.0,9237.37,FOB
SKU-004,Sup-Gamma,2023-06-25,2023-08-13,234.0,29331.37,DDP
SKU-008,Sup-Gamma,2023-03-15,2023-05-01,192.0,36352.09,DDP
SKU-002,Sup-Beta,2023-09-07,2023-10-24,200.0,49358.74,EXW
SKU-006,Sup-Delta,2023-11-21,2024-01-07,76.0,23698.55,CIF
SKU-004,Sup-Gamma,2024-01-25,2024-03-04,398.0,29661.39,DDP
SKU-003,Sup-Alpha,2023-09-08,2023-10-24,403.0,39428.12,FOB
SKU-003,Sup-Alpha,2023-11-11,2023-12-28,245.0,22611.67,FOB
SKU-007,Sup-Alpha,2023-09-02,2023-10-11,222.0,3810.82,FOB
SKU-004,Sup-Gamma,2024-01-10,2024-03-09,218.0,2675.7,DDP
SKU-006,Sup-Delta,2024-01-23,2024-03-11,425.0,11147.68,CIF
SKU-001,Sup-Alpha,2023-11-17,2023-12-22,380.0,12860.75,FOB
SKU-006,Sup-Delta,2023-06-09,2023-07-29,108.0,20410.42,CIF
SKU-010,Sup-Delta,2023-06-06,2023-07-13,125.0,41544.5,CIF
SKU-005,Sup-Beta,2023-05-29,2023-07-19,255.0,26973.84,EXW
SKU-009,Sup-Beta,2023-06-22,2023-08-15,245.0,34965.45,EXW
SKU-003,Sup-Alpha,2023-06-25,2023-08-02,498.0,25528.58,FOB
SKU-004,Sup-Gamma,2023-03-26,2023-05-17,477.0,46073.86,DDP
SKU-007,Sup-Alpha,2023-01-10,2023-02-27,153.0,36904.1,FOB
SKU-003,Sup-Alpha,2023-04-19,2023-06-09,380.0,30305.26,FOB
SKU-003,Sup-Alpha,2023-03-05,2023-05-04,215.0,33225.94,FOB
SKU-001,Sup-Alpha,2023-07-12,2023-08-24,444.0,14277.88,FOB
SKU-009,Sup-Beta,2023-11-16,2023-12-24,72.0,49744.65,EXW
SKU-002,Sup-Beta,2023-12-01,2024-01-07,426.0,4315.28,EXW
SKU-002,Sup-Beta,2023-08-02,2023-09-09,250.0,7932.56,EXW
SKU-005,Sup-Beta,2023-08-31,2023-10-14,366.0,11863.76,EXW
SKU-001,Sup-Alpha,2023-06-04,2023-07-21,239.0,6847.03,FOB
SKU-009,Sup-Beta,2023-05-19,2023-07-05,330.0,35634.86,EXW
SKU-007,Sup-Alpha,2024-03-01,2024-04-21,454.0,26556.07,FOB
SKU-010,Sup-Delta,2023-03-02,2023-04-16,177.0,39668.48,CIF
SKU-008,Sup-Gamma,2023-04-12,2023-06-07,324.0,39342.03,DDP
SKU-009,Sup-Beta,2023-04-14,2023-05-26,211.0,21668.3,EXW
SKU-003,Sup-Alpha,2023-01-21,2023-03-28,297.0,45697.12,FOB
SKU-008,Sup-Gamma,2023-06-19,2023-08-08,156.0,2611.97,DDP
SKU-002,Sup-Beta,2023-02-26,2023-04-05,426.0,34113.05,EXW
SKU-003,Sup-Alpha,2023-02-16,2023-03-24,401.0,5602.31,FOB
SKU-002,Sup-Beta,2023-05-12,2023-06-29,340.0,23924.06,EXW
SKU-005,Sup-Beta,2023-05-16,2023-06-28,259.0,6790.83,EXW
SKU-003,Sup-Alpha,2024-03-23,2024-05-12,68.0,15947.22,FOB
SKU-006,Sup-Delta,2023-08-07,2023-09-24,382.0,6559.93,CIF
SKU-001,Sup-Alpha,2023-01-05,2023-02-18,433.0,33841.04,FOB
SKU-003,Sup-Alpha,2023-06-18,2023-07-26,211.0,23010.3,FOB
SKU-010,Sup-Delta,2023-05-18,2023-06-19,445.0,6461.66,CIF
SKU-006,Sup-Delta,2023-04-04,2023-05-15,101.0,21212.01,CIF
SKU-008,Sup-Gamma,2023-05-20,2023-07-10,426.0,35115.32,DDP
SKU-008,Sup-Gamma,2024-02-14,2024-03-31,240.0,44533.95,DDP
SKU-003,Sup-Alpha,2023-02-27,2023-04-03,110.0,36867.73,FOB
SKU-003,Sup-Alpha,2023-02-23,2023-04-10,237.0,30356.01,FOB
SKU-010,Sup-Delta,2023-12-14,2024-01-31,247.0,31343.51,CIF
SKU-006,Sup-Delta,2023-11-10,2023-12-17,63.0,34854.28,CIF
SKU-003,Sup-Alpha,2023-09-05,2023-10-21,464.0,7421.0,FOB
SKU-007,Sup-Alpha,2023-08-14,2023-09-28,71.0,14557.42,FOB
SKU-006,Sup-Delta,2023-01-07,2023-02-11,367.0,34540.59,CIF
