Item Code,Order Date,Ship Date,Customer Request Date,Sales Qty,Net Amount,Customer
SKU-002,2023-01-26,2023-01-29,2023-02-01,52.0,7496.48,CUST-018
SKU-002,2024-03-08,2024-03-09,2024-03-11,28.0,2710.28,CUST-020
SKU-001,2023-07-23,2023-07-28,2023-08-01,52.0,6098.02,CUST-001
SKU-003,2024-03-08,2024-03-11,2024-03-15,40.0,9593.52,CUST-011
SKU-002,2023-04-05,2023-04-09,2023-04-09,78.0,3767.58,CUST-009
SKU-001,2024-04-15,2024-04-20,2024-04-19,195.0,4096.08,CUST-018
SKU-005,2024-01-06,2024-01-11,2024-01-12,144.0,935.33,CUST-008
SKU-005,2023-03-23,2023-03-25,2023-03-27,82.0,4807.4,CUST-012
SKU-003,2024-01-15,2024-01-18,2024-01-21,137.0,7167.29,CUST-003
SKU-010,2023-06-25,2023-06-30,2023-07-09,57.0,4891.47,CUST-009
SKU-006,2023-02-27,2023-03-01,2023-03-02,163.0,4311.07,CUST-003
SKU-004,2023-11-19,2023-11-21,2023-12-02,105.0,8904.49,CUST-015
SKU-003,2023-09-29,2023-10-01,2023-10-05,152.0,5620.28,CUST-019
SKU-007,2024-02-13,2024-02-16,2024-02-19,199.0,1814.15,CUST-016
SKU-002,2023-02-18,2023-02-19,2023-02-23,129.0,8024.75,CUST-014
SKU-010,2023-03-07,2023-03-11,2023-03-16,123.0,4946.47,CUST-009
SKU-001,2023-04-28,2023-05-03,2023-05-05,156.0,3731.67,CUST-010
SKU-007,2023-06-11,2023-06-15,2023-06-14,191.0,8820.6,CUST-009
SKU-005,2024-06-03,2024-06-08,2024-06-09,39.0,7743.85,CUST-018
SKU-010,2023-11-28,2023-12-02,2023-12-01,31.0,3948.32,CUST-010
SKU-004,2023-03-01,2023-03-03,2023-03-13,190.0,1313.71,CUST-016
SKU-002,2024-06-29,2024-07-01,2024-07-04,135.0,9495.06,CUST-006
SKU-005,2024-06-24,2024-06-29,2024-07-03,193.0,9324.68,CUST-007
SKU-005,2024-02-13,2024-02-16,2024-02-23,181.0,4789.12,CUST-008
SKU-004,2023-03-07,2023-03-10,2023-03-10,122.0,2686.09,CUST-008
SKU-001,2023-03-14,2023-03-15,2023-03-20,23.0,798.42,CUST-011
SKU-002,2024-06-10,2024-06-12,2024-06-17,137.0,2535.25,CUST-005
SKU-010,2024-04-29,2024-05-01,2024-05-09,163.0,2308.89,CUST-004
SKU-007,2023-12-29,2024-01-02,2024-01-07,99.0,7426.22,CUST-004
SKU-001,2024-02-17,2024-02-20,2024-02-21,57.0,2306.98,CUST-015
SKU-003,2024-03-08,2024-03-10,2024-03-15,98.0,8807.62,CUST-003
SKU-008,2023-04-11,2023-04-12,2023-04-24,200.0,8442.26,CUST-003
SKU-004,2023-06-20,2023-06-24,2023-06-30,101.0,8714.18,CUST-002
SKU-003,2024-01-24,2024-01-25,2024-02-02,60.0,7948.67,CUST-015
SKU-005,2024-03-09,2024-03-14,2024-03-22,146.0,1970.57,CUST-010
SKU-004,2023-03-01,2023-03-06,2023-03-15,113.0,7605.77,CUST-002
SKU-001,2024-05-03,2024-05-08,2024-05-14,40.0,9627.4,CUST-003
SKU-003,2023-03-12,2023-03-17,2023-03-16,138.0,2734.44,CUST-004
SKU-010,2023-09-10,2023-09-15,2023-09-22,18.0,1278.84,CUST-019
SKU-010,2024-06-19,2024-06-22,2024-06-26,49.0,7303.82,CUST-008
SKU-005,2024-02-10,2024-02-12,2024-02-23,133.0,4843.63,CUST-003
SKU-001,2024-04-14,2024-04-19,2024-04-26,199.0,1195.98,CUST-007
SKU-006,2023-03-12,2023-03-14,2023-03-20,64.0,4662.75,CUST-018
SKU-005,2024-06-25,2024-06-26,2024-07-08,165.0,3344.1,CUST-004
SKU-003,2023-09-28,2023-09-29,2023-10-02,151.0,1976.76,CUST-010
SKU-010,2023-08-04,2023-08-07,2023-08-10,141.0,8602.67,CUST-017
SKU-008,2023-09-15,2023-09-16,2023-09-19,131.0,8378.81,CUST-002
